"TALLER","CODIGO INTERNO","NOMBRE DE PRODUCTO","1 TAB","2 TIPO","3 ZONA","AREA","SUBAREA","LINK DE MANUAL","LINK DE VIDEO"
"Industria del Vestido","MAT-464","USB con información de los manuales","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-104","COMPUTADORA DE ESCRITORIO - TODO EN UNO","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-140","Mesa Discapacitado","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-126","Mesa de Computadora para estudiante (1000 mm x 600 mm x 760 mm.)","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-111-X","Impresora Multifuncional","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-152","Mueble bajo (1000 mm x 600 mm x 900 mm.)","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-114","Pizarra (pantalla) táctil interactiva multi-touch","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","","Cámara de Documentos","Bien","","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-108","Equipo de sonido","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-114-Y","Escritorio para el docente","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-168","Silla para el docente","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MOB-105-Y","Armario de Metal (1.00 m X 0.40 m X 1.80m.)","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","COM-204","Lienzo magnético para aplicar metodologías de diseño","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MAT-481","Videos didácticos cortos de la metodología y técnicas relacionadas con la creación de propuestas de valor","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","ESP-139-X","Cortadora láser CO2","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","COM-206","Lienzo magnético para diseñar modelos de negocios","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","COM-205","Lienzo magnético para diseñar flujogramas de la producción (DOP y DAP)","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","KEFF-04","Manual de uso por cada equipo de análisis y diseño de la propuesta de valor","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","KEFF-05","Manual de mantenimiento por cada equipo de análisis y diseño de la propuesta de valor","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","KEFF-06","Manual pedagógico para diseñar la propuesta de valor utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MAT-464","USB con información de los manuales","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","MAT-135","Cinta métrica (plástico flexible)","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-420","Reglas de metal","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-421","Juego de Reglas de patronaje","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-160","Escuadra","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-457","Tijera de Acero","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-253","Pesa","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-286","Ruleta","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-108","Ruleta de Alfileres","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-269","Punzón","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","ESP-224","Máquina cortadora manual de disco","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-195","Juego de tijeras para telas","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MOB-174","Soporte de rollos de tela","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MOB-105-Y","Armario de Metal (1.00 m X 0.40 m X 1.80m.)","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MOB-105-Y","Armario de Metal (1.00 m X 0.40 m X 1.80m.)","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MOB-101","Anaquel de metal (1.00 m X 0.40 m X 1.80 m.)","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MOB-149","Mesa para trazo y corte (2000 mm x 1200 mm x 800 mm.)","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","COM-248-Z","Panel interactivo (magnético)","Bien","PEDAGOGICO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-227","Máquina de coser doméstica electrónica digital 1200 puntadas por minuto","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","MOB-159","Mueble para máquina de coser doméstica electrónica digital 1200 puntadas por minuto","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","ESP-228","Máquina de coser semi industrial mecánica","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","MOB-160","Mueble para máquina de coser semi industrial mecánica","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","ESP-238","Máquina doméstica remalladora (fileteadora)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-162","Mueble para máquina remalladora","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-237","Máquina doméstica recubridora (collaretera )","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-161","Mueble para máquina doméstica recubridora","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-250","Máquina tricotera industrial","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-229","Máquina de costura recta industrial","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","COM-156","Embudo para sesgo","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-266","Prensatela de cierre","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-267","Prensatela de compensación","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-268","Prensatela de dobladillar","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","COM-215","Juego de Maniquíes","Bien","HERRAMIENTAS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","COM-164","Espejo","Bien","HERRAMIENTAS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","COM-258","Piquetera","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","ESP-300","Plancha a vapor vertical","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","ESP-299","Plancha a vapor","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","COM-230","Mesa para planchar","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","HER-186","Remachadora manual","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-101","Abreojales","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","COM-102-Z","Aceitera","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","HER-125","Juego de Destornilladores","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","HER-135-X","Juego de alicates","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-124","Juego de Brocha angular para limpieza de máquinas","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-74","Manual de uso por cada equipo en función del taller (Confecciones)","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-75","Manual de mantenimiento por cada equipo en función del taller (confecciones)","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-76","Manual pedagógico para elaborar procesos de confección utilizando el equipo (confecciones)","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-464","USB con información de los manuales","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","ESP-116","Bordadora domestica digital, área de trabajo de 300 mm X 180 mm","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-157","Mueble para máquina bordadora","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-223","Máquina bordadora semi industrial","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","KEFF-77","Manual de uso por cada equipo de bordar","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-78","Manual de mantenimiento por cada equipo de bordar","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-79","Manual pedagógico para desarrollar habilidades tecnicas para bordar utilizando el equipo","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-473","USB con la información de los manuales","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","ESP-189","Impresora digital textil","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-155","Mueble para impresora digital textil","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-248","Máquina transfer base plana digital","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-163","Mueble para máquina transfer base plana","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","ESP-247","Máquina transfer base curva digital","Bien","EQUIPOS","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MOB-164","Mueble para máquina transfer de base curva","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","KEFF-80","Manual de uso por cada equipo del estampar","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-81","Manual de mantenimiento por cada equipo de estampar","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","KEFF-82","Manual pedagógico para desarrollar habilidades tecnicas para estampar utilizando el equipo","Manual","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-473","USB con la información de los manuales","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-386-X","Mascarilla","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-174","Guante de malla metálica","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-161","Extintor CO2","Bien","SEGURIDAD","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO - ÁREA DE ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MAT-123-X","Botiquín","Bien","SEGURIDAD","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PUNTO","","",""
"Industria del Vestido","MAT-123-X","Botiquín","Bien","SEGURIDAD","ZONA DE INNOVACIÓN","ELABORACIÓN DE PRENDAS EN TEJIDO PLANO","","",""
"Industria del Vestido","CAPA-VEST","Taller de Capacitación presencial","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","USB-VEST","USB con material para la capacitación","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","MAT-164-Y-6","Juego de Fichas para el aprendizaje de la señalética y símbolos de seguridad para el taller","Bien","PEDAGOGICO","ZONA DE INNOVACIÓN","","","",""
"Cocina y Repostería","TEC-107-X","Equipo de grabación para reportero","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-103","Cámara fotográfica","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-102-X","Cámara Filmadora con trípode","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-117","Tablet","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-01","Manual de uso por cada equipo de Identificación de necesidades y problemas","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-02","Manual de mantenimiento por cada equipo de Identificación de necesidades y problemas","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-03","Manual pedagógico para identificar necesidades y problemas utilizando los equipos","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MAT-465","USB con información de los manuales","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-104","COMPUTADORA DE ESCRITORIO - TODO EN UNO","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-126","Mesa de Computadora para estudiante (1000 mm x 600 mm x 760 mm.)","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-169","Silla para Estudiante","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-111-X","Impresora Multifuncional","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","COM-204","Lienzo magnético para aplicar metodologías de diseño","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","","Lienzo magnético para diseñar modelos de negocios","Bien","","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-114","Pizarra (pantalla) táctil interactiva multi- touch","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","","Cámara de Documentos","Bien","","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","TEC-108","Equipo de sonido","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-114-Y","Escritorio para el docente","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-168","Silla para el docente","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-105-Y","Armario de Metal (1.00 m X 0.40 m X 1.80 m)","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MAT-481","Videos didácticos cortos de la metodología y técnicas relacionadas con la creación de propuestas de valor","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","ESP-187-Y","Impresora 3D","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","","Lienzo magnético para diseñar flujogramas de la producción (DOP y DAP)","Bien","","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-04","Manual de uso por cada equipo de análisis y diseño de la propuesta de valor","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-05","Manual de mantenimiento por cada equipo de análisis y diseño de la propuesta de valor","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-06","Manual pedagógico para diseñar la propuesta de valor utilizando los equipos","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MAT-465","USB con información de los manuales","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-152","Mueble bajo (1000 mm x 600 mm x 900 mm.)","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MOB-140","Mesa Discapacitado","Bien","MOBILIARIO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","ESP-125","Cocina de inducción con 5 zonas de cocción y con horno multifuncional","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-302","Plancha de Sobremesa a gas","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-172","Freidora de sobremesa a gas","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-118","Campana Extractora Isla con equipos de extracción","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-255","Microondas","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-126-X","Cocina Semi Industrial","Bien","EQUIPOS","ZONA DE INNOVACIÓN","REPOSTERÍA","","",""
"Cocina y Repostería","ESP-185-X","Horno Pastelero","Bien","EQUIPOS","ZONA DE INNOVACIÓN","REPOSTERÍA","","",""
"Cocina y Repostería","COM-118","Juego de bracera rosticera","Bien","HERRAMIENTAS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-285","Olla arrocera","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","KEFF-10","Manual de uso por cada equipo de coccion","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-11","Manual de mantenimiento por cada equipo de coccion","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","KEFF-12","Manual pedagógico para desarrollar habilidades tecnica para realizar la coccion","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","MAT-465","USB con información de los manuales","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Cocina y Repostería","ESP-324","Refrigeradora (Capacidad 617L)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-166","Extractor","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-111","Batidora","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-182","Gratinador","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-282-X","Multiprocesador alimentos robov","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","COM-110-X","Balanza Digital","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","COM-168","Exprimidor de Limón","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","COM-141","Cortador de Patatas de Palanca","Bien","HERRAMIENTAS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-222","Mandolina Eléctrica para Cocina","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","COM-140","Cortador de Huevos","Bien","HERRAMIENTAS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-133-X","Conservadora / Congeladora puerta Vidrio vertical 55 Lt Dual","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Cocina y Repostería","ESP-217-X","Licuadora Industrial","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","ESP-321","Refresquera enfriador de bebidas","Bien","EQUIPOS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","COM-250","Pelador de papa","Bien","HERRAMIENTAS","ZONA DE INNOVACIÓN","TRANSFORMACIÓN DE ALIMENTOS","","",""
"Cocina y Repostería","","Laminadora de masa hojaldre","Bien","","ZONA DE INNOVACIÓN","REPOSTERÍA","","",""
